Movie ID:,Name:,Rating:,Genre:,Additional Genre:,Producer:,No info:
1,The Prestige,PG-13,Science_Fiction,Thriller,,
2,Fast & Furious,PG-13,Crime,Thriller,,
3,Infinity War,PG-13,Fantasy,Science_Fiction,,
4,Wedding Crashers,R,Romance,Comedy,,
5,Avatar,PG-13,Fantasy,Science_Fiction,,
6,Titanic,PG-13,Drama,Disaster_Film,,
7,Marley & Me,PG,Film_adaptation,Drama,,
8,Jurassic Park,PG-13,Fantasy,Mystery,,
9,Lion King,G,Drama,Music,,
10,Frozen,PG,Fantasy,Comedy,,
11,The Incredibles,PG,Action,Adventure,,
12,The Proposal,PG-13,Drama,Romance,,
13,Crazy Rich Asians,PG-13,Drama,Comedy,,
14,The Boy in the Striped Pajamas,PG-13,Film_adaptation,Drama,,
15,40 Year Old Virgin,R,Romance,Buddy_film,,
16,Les Miserables,PG-13,Drama,Romance,,
17,Hot Tub Time Machine,R,Science_Fiction,Adventure,,
18,Horrible Bosses,R,Crime,Comedy,,
19,Love Actually,R,Drama,Romance,,
20,When Harry Met Sally,R,Drama,Romance,,
21,The Lego Movie,PG,Fantasy,Action,,
22,Inception,PG-13,Science_Fiction,Thriller,,
23,The Matrix,R,Fantasy,Science_Fiction,,
24,Interstellar,PG-13,Drama,Mystery,,
25,Minions,PG,Action,Adventure,,
26,Coco,PG,Fantasy,Mystery,,
27,The Conjuring,R,Supernatural_horror_film,Horror,,
28,It follows,R,Mystery,Thriller,,
29,Scary Movie,R,Slasher,Teen_film,,
30,Geostorm,PG-13,Science_Fiction,Disaster_Film,,
31,Black Panther,PG,Fantasy,Science_Fiction,,
32,300,R,Fantasy,Action,,
33,Casino Royale,PG-13,Mystery,Thriller,,
34,Octopussy,PG,Thriller,Action,,
35,The Godfather,R,Drama,Crime,,
36,Schindler's List,R,Drama,Black_and_white,,
37,Frankenweenie,PG,Fantasy,Horror,,
38,Black Swan,R,Drama,Mystery,,
39,Ponyo,G,Drama,Fantasy,,
40,The Princess Diaries,G,Romance,Comedy,,
41,Blackfish,PG-13,Documentary,,,
42,Super Size Me,PG-13,Drama,Documentary,,
43,The Cove,PG-13,Documentary,Crime,,
44,Man on Wire,PG-13,Documentary,,,
45,Scooby-Doo,PG,Mystery,Adventure,,
46,Mulan,G,Drama,Fantasy,,
47,The Price of Egypt,G,Drama,Fantasy,,
48,Baby Driver,,Crime,Thriller,,
49,The Wolf of Wall Street,R,Crime,Comedy,,
50,The Dark Knight,PG-13,Crime,Thriller,,
51,Ocean's Eleven,PG-13,Crime,Thriller,,
52,Bohemian Rhapsody,PG-13,Music,Biograph,,
53,La La Land,PG-13,Music,Romance,,
54,Mama Mia,PG-13,Romance,Music,,
55,High School Musical,PG,Drama,Music,,
56,12 Years a Slave,R,Drama,Historical_Drama,,
57,Inception ,PG-13,Science_Fiction,Thriller,,
58,Momento,R,Drama,Crime,,
59,Dunkirk,PG-13,Drama,Thriller,,
