Player Name,Date,Statistic,Variable,Value
Cameron Champ,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),78
Rory McIlroy,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),72
Luke List,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),66
Dustin Johnson,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),73
Wyndham Clark,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),87
Bubba Watson,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),65
Seth Reeves,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),73
Trey Mullinax,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),77
Tony Finau,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),89
Cameron Davis,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),76
Brooks Koepka,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),81
Jhonattan Vegas,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),75
Gary Woodland,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),87
Sam Burns,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),80
Byeong Hun An,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),80
J.B. Holmes,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),78
Jason Kokrak,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),94
Ollie Schniederjans,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),77
Phil Mickelson,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),63
Jon Rahm,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),75
Patrick Cantlay,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),77
Sepp Straka,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),78
Brandon Harkins,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),91
Xander Schauffele,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),77
Martin Trainer,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),63
Kevin Tway,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),84
Alex Prugh,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),77
Keith Mitchell,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),86
Justin Rose,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),66
Rickie Fowler,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),76
Hideki Matsuyama,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),91
Charles Howell III,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),94
Aaron Wise,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),72
Bryson DeChambeau,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),75
Sergio Garcia,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),53
Brendan Steele,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),68
Justin Thomas,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),75
Jason Day,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),69
Harold Varner III,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),84
Nick Watney,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),87
Joaquin Niemann,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),98
Danny Lee,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),83
Alex Noren,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),63
Daniel Berger,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),70
Harris English,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),97
Carlos Ortiz,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),84
Adam Schenk,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),102
Sung Kang,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),86
Max Homa,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),82
John Chin,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),58
Sam Saunders,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),78
Patrick Rodgers,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),55
Beau Hossler,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),87
Adam Scott,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),63
Jimmy Walker,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),74
Chase Wright,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),75
Martin Laird,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),88
Sebastian Munoz,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),86
Tommy Fleetwood,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),71
Ryan Palmer,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),74
Keegan Bradley,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),89
Paul Casey,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),79
Chesson Hadley,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),76
Peter Uihlein,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),84
Talor Gooch,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),54
Corey Conners,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),90
Cody Gribble,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),74
Mackenzie Hughes,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),80
Scott Stallings,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),82
Cameron Tringale,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),73
Patrick Reed,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),93
Tyrrell Hatton,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),62
Sangmoon Bae,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),60
Dylan Frittelli,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),83
Jim Knous,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),57
Dominic Bozzelli,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),73
Louis Oosthuizen,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),71
Marc Leishman,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),76
Bronson Burgoon,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),59
Lucas Glover,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),94
Sungjae Im,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),122
Seamus Power,8/25/2019,Driving Distance,Driving Distance - (ROUNDS),80
