STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",1/1/2016,7.61,0,0,0,,42,34,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/2/2016,6.71,0,0,0,,40,32,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/3/2016,7.83,0,0,0,,45,35,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/4/2016,8.5,0,0,0,,36,14,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/5/2016,5.14,0,0,0,,29,11,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/6/2016,3.58,0,0,0,,41,25,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/7/2016,2.46,0,0,0,,46,31,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/8/2016,4.25,0,0,0,,46,31,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/9/2016,8.05,0,0,0,,47,40,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/10/2016,9.84,1.8,0,0,,59,40,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/11/2016,10.51,0,0,0,,40,26,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/12/2016,6.04,0,0,0,,44,25,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/13/2016,9.84,0,0,0,,30,22,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/14/2016,4.92,0,0,0,,38,22,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/15/2016,5.14,0,0,0,,51,34,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/16/2016,6.71,0.24,0,0,,52,42,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/17/2016,5.59,0.05,0.4,0,,42,30,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/18/2016,11.86,0,0,0,,31,18,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/19/2016,10.96,0,0,0,,28,16,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/20/2016,5.59,0,0,0,,37,27,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/21/2016,6.04,0,0,0,,36,26,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/22/2016,6.49,0.01,0.2,0,,30,21,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/23/2016,15.66,2.31,27.3,5.9,,27,24,1,1,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/24/2016,5.82,0,0,22,,35,20,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",1/25/2016,3.36,0,0,18.9,,39,28,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/26/2016,6.49,0,0,16.9,,48,38,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/27/2016,6.71,0,0,9.1,,47,34,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/28/2016,4.47,0,0,5.9,,42,32,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/29/2016,7.83,0,0,5.9,,41,30,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/30/2016,6.93,0,0,5.9,,39,28,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",1/31/2016,5.14,0,0,3.9,,56,36,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/1/2016,5.82,0.01,0,2,,59,44,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/2/2016,3.58,0,0,0,,50,38,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/3/2016,6.49,0.73,0,0,,59,42,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/4/2016,5.82,0,0,0,,59,44,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/5/2016,8.28,0.53,2.5,1.2,,44,31,1,1,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2/6/2016,5.59,0,0,0,,40,30,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/7/2016,5.37,0,0,0,,47,33,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/8/2016,10.51,0.05,0.1,0,,39,28,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2/9/2016,4.03,0,0,0,,36,27,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2/10/2016,5.82,0.01,0,0,,39,31,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2/11/2016,10.07,0,0,0,,31,18,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2/12/2016,6.71,0,0,0,,27,15,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/13/2016,12.3,0,0,0,,22,6,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/14/2016,6.26,0,0,0,,15,-1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/15/2016,5.37,0.44,1.4,0,,35,13,1,,,,1,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2/16/2016,7.83,1.01,0,0,,54,35,1,1,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2/17/2016,7.38,0,0,0,,39,35,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/18/2016,7.16,0,0,0,,36,27,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/19/2016,5.37,0,0,0,,39,24,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/20/2016,7.38,0,0,0,,61,39,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/21/2016,4.92,0.03,0,0,,55,44,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/22/2016,5.14,0,0,0,,52,38,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/23/2016,14.54,0.3,0,0,,40,35,1,,,1,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2/24/2016,10.51,1.22,0,0,,60,36,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/25/2016,8.95,0.02,0,0,,61,37,1,,,,,
