UNIX TIME;TIME;LAT,LAT;LONG,LONG;ALT,ALT;DIST;HR;CAD;TEMP;POWER
1179727200;2007-05-21T06:00:00Z;44,270495;-71,299990;1827,117;0;0;0;No Data;No Data
1179727231;2007-05-21T06:00:31Z;44,271233;-71,299636;1818,704;0.0869384;0;0;No Data;No Data
1179727302;2007-05-21T06:01:42Z;44,272884;-71,298728;1820,166;0.2845491;0;0;No Data;No Data
1179727354;2007-05-21T06:02:34Z;44,274075;-71,298001;1833,082;0.4292721;0;0;No Data;No Data
1179727404;2007-05-21T06:03:24Z;44,275254;-71,297435;1825,133;0.5680647;0;0;No Data;No Data
1179727452;2007-05-21T06:04:12Z;44,276433;-71,297567;1810,077;0.6997852;0;0;No Data;No Data
1179727499;2007-05-21T06:04:59Z;44,277606;-71,297496;1781,93;0.8305506;0;0;No Data;No Data
1179727552;2007-05-21T06:05:52Z;44,278907;-71,297048;1736,935;0.9797322;0;0;No Data;No Data
1179727576;2007-05-21T06:06:16Z;44,279492;-71,296998;1714,707;1.045016;0;0;No Data;No Data
1179727613;2007-05-21T06:06:53Z;44,280195;-71,296184;1695,611;1.146636;0;0;No Data;No Data
1179727675;2007-05-21T06:07:55Z;44,280688;-71,294121;1686,944;1.320002;0;0;No Data;No Data
1179727728;2007-05-21T06:08:48Z;44,281492;-71,292650;1657,649;1.4675;0;0;No Data;No Data
1179727778;2007-05-21T06:09:38Z;44,281988;-71,291068;1634,629;1.605171;0;0;No Data;No Data
1179727821;2007-05-21T06:10:21Z;44,282969;-71,290425;1604,639;1.725861;0;0;No Data;No Data
1179727834;2007-05-21T06:10:34Z;44,283246;-71,290180;1597,695;1.762348;0;0;No Data;No Data
1179727895;2007-05-21T06:11:35Z;44,283848;-71,288249;1588,872;1.930215;0;0;No Data;No Data
1179727924;2007-05-21T06:12:04Z;44,284568;-71,288150;1560,141;2.010838;0;0;No Data;No Data
1179727934;2007-05-21T06:12:14Z;44,284543;-71,287788;1561,555;2.039812;0;0;No Data;No Data
1179727976;2007-05-21T06:12:56Z;44,284440;-71,286349;1575,775;2.155054;0;0;No Data;No Data
1179728024;2007-05-21T06:13:44Z;44,284463;-71,284653;1575,722;2.290232;0;0;No Data;No Data
