ele,_lat,_lon
809.766,36.099211341,-112.202812212
803.924,36.099074028,-112.202824774
791.291,36.098831922,-112.202853925
770.409,36.098508415,-112.202891916
745.982,36.098205689,-112.202921494
737.124,36.098095983,-112.202936903
722.7,36.097913863,-112.202962484
716.826,36.097684189,-112.202980399
715.7,36.09730101,-112.202984008
772.637,36.096246718,-112.202928
801.314,36.095746675,-112.202895519
925.117,36.094428803,-112.202738666
952.418,36.094209971,-112.202719541
969.03,36.093627699,-112.202682017
969.697,36.093381218,-112.202683791
969.511,36.093430064,-112.202683429
968.881,36.093646089,-112.202641211
925.352,36.094445417,-112.202557175
775.162,36.096087514,-112.202618834
732.271,36.096736428,-112.202539886
715.7,36.097245908,-112.202549879
721.997,36.097794436,-112.202522386
744.938,36.098169926,-112.202480326
739.69,36.098097655,-112.202654834
715.7,36.097543452,-112.202818819
766.784,36.096345387,-112.202831949
866.586,36.094887424,-112.202666349
914.73,36.094537875,-112.202469833
933.936,36.094523936,-112.201821011
862.834,36.094639615,-112.201115257
799.916,36.095213872,-112.200064022
768.095,36.095470545,-112.199688086
764.174,36.095487012,-112.19963555
808.027,36.095372049,-112.20029449
829.967,36.095358216,-112.200842977
836.484,36.095361103,-112.201043338
853.449,36.095219444,-112.201380932
860.218,36.095165257,-112.201572349
818.238,36.09560586,-112.202210727
808.9,36.095644951,-112.20242364
821.873,36.095598562,-112.201034363
771.498,36.095925938,-112.20016225
755.833,36.095979018,-112.199740478
715.7,36.096644573,-112.200507913
715.7,36.096845195,-112.201475852
732.735,36.096633014,-112.20233646
720.901,36.09667338,-112.201920488
715.7,36.096535293,-112.20094717
779.444,36.095955367,-112.200631901
781.496,36.095782188,-112.200168511
779.444,36.095955367,-112.200631901
719.317,36.096637681,-112.201272362
716.555,36.096830801,-112.202130811
720.549,36.096819137,-112.202340827
715.7,36.097074259,-112.201790668
718.434,36.097411892,-112.199753529
715.756,36.097298719,-112.199205193
715.7,36.097011685,-112.198963284
715.7,36.097059788,-112.199631186
715.7,36.097044214,-112.20035795
715.7,36.096995374,-112.201685135
716.25,36.097031438,-112.202232082
716.363,36.097067242,-112.202555583
715.7,36.097111461,-112.201237885
715.7,36.096896551,-112.200593756
715.7,36.096695379,-112.200448079
715.7,36.096640147,-112.200069196
715.711,36.096667333,-112.19984566
715.7,36.09729409,-112.200388645
725.45,36.097762452,-112.201124155
731.159,36.097892037,-112.201950052
730.537,36.097929056,-112.202281925
736.133,36.097944113,-112.201267881
737.373,36.097823808,-112.200430969
746.442,36.097929018,-112.2000136
755.444,36.098163328,-112.200436132
752.711,36.098205783,-112.200716928
766.073,36.098450272,-112.201588967
771.509,36.098568024,-112.2019691
775.906,36.098720503,-112.202187203
778.746,36.098652261,-112.201727695
780.63,36.098631989,-112.201280429
775.498,36.098592371,-112.200886364
785.816,36.098666515,-112.200415557
796.035,36.098822237,-112.200332855
803.791,36.099033942,-112.200818247
814.872,36.099113771,-112.201434294
817.808,36.09926315,-112.202054232
812.716,36.099323874,-112.202340177
819.602,36.099411336,-112.20233031
824.06,36.099362609,-112.202101156
835.203,36.099400348,-112.201627632
829.936,36.099371724,-112.201287072
825.723,36.099329226,-112.200888401
829.392,36.099276054,-112.200488834
830.332,36.099353939,-112.200253931
842.782,36.09960552,-112.200342803
857.367,36.099722194,-112.200661035
862.947,36.099950541,-112.201391062
865.091,36.099973585,-112.201791595
868.198,36.100071353,-112.202358417
870.395,36.100123892,-112.202816078
875.544,36.100174042,-112.203328618
884.094,36.100321287,-112.202969352
898.307,36.100461519,-112.202140664
892.31,36.100489884,-112.20150265
881.699,36.100616836,-112.201103383
871.963,36.100711206,-112.200872615
892.31,36.100489884,-112.20150265
911.372,36.100540853,-112.201900089
913.611,36.100603562,-112.202468379
917.877,36.100740199,-112.202919587
938.515,36.100828206,-112.203363821
906.319,36.100594706,-112.203169076
864.466,36.100014936,-112.203057609
811.672,36.099115936,-112.203041151
766.139,36.09845385,-112.203003771
734.443,36.098069931,-112.202997868
719.382,36.097785925,-112.202974825
742.842,36.098135837,-112.202595238
772.576,36.098723393,-112.20236335
810.542,36.099268111,-112.202287914
859.376,36.09989704,-112.202209298
978.22,36.101459851,-112.201767517
944.972,36.100761139,-112.201987443
892.459,36.100427351,-112.202203972
828.991,36.099580304,-112.202600107
785.066,36.098699559,-112.202921609
782.576,36.09866569,-112.203026166
813.5,36.09930248,-112.202803689
823.83,36.09948151,-112.202785983
840.542,36.099709365,-112.202697658
868.596,36.100091067,-112.202530133
878.54,36.100245955,-112.202631158
813.426,36.099162579,-112.202982064
765.678,36.098456246,-112.20311317
726.533,36.097991894,-112.203180476
719.382,36.097785925,-112.202974825
743.018,36.098144182,-112.202705401
767.701,36.098637293,-112.202372996
793.672,36.099021701,-112.202263434
800.7,36.09916158,-112.202361145
780.64,36.098798152,-112.202583752
762.386,36.098442552,-112.202674012
749.33,36.098229085,-112.202696469
724.191,36.097908571,-112.202734467
715.7,36.097579048,-112.202652187
715.7,36.097352076,-112.202383304
715.7,36.097424222,-112.202049276
715.887,36.097641739,-112.201871373
735.525,36.097938469,-112.201606913
746.738,36.098117377,-112.201356346
763.419,36.098393209,-112.201259915
777.437,36.098592769,-112.201286351
789.155,36.098753876,-112.201374797
800.141,36.098913622,-112.20140741
821.605,36.099202609,-112.201423125
835.061,36.099408641,-112.201684577
835.206,36.099445248,-112.201856389
824.141,36.099442966,-112.202268001
816.157,36.09936757,-112.202335247
795.539,36.099085434,-112.202372115
780.803,36.098813642,-112.202233479
776.017,36.098619357,-112.201844819
776.405,36.09860481,-112.201565933
782.82,36.098664607,-112.201162168
781.574,36.09870559,-112.200811372
800.214,36.098923432,-112.200546996
820.051,36.099146851,-112.200394298
830.643,36.099288053,-112.200374853
849.697,36.099651793,-112.200501923
860.894,36.099794238,-112.20077021
862.968,36.099953932,-112.20133409
854.714,36.099773776,-112.201698235
835.206,36.099445248,-112.201856389
832.604,36.099389223,-112.201804463
827.219,36.099263358,-112.201587466
810.263,36.099066567,-112.201214802
803.64,36.099039984,-112.20087502
825.137,36.099238686,-112.200552268
843.16,36.099462813,-112.200577514
858.756,36.099854534,-112.200656732
858.236,36.100139358,-112.200865671
868.518,36.100174797,-112.201140276
865.377,36.09999566,-112.201499595
854.714,36.099773776,-112.201698235
849.098,36.099669699,-112.201594813
836.18,36.099469031,-112.201332672
845.277,36.099474202,-112.200691933
819.165,36.100016546,-112.200148656
807.971,36.100473212,-112.199933944
815.482,36.100644703,-112.200031985
820.578,36.100592054,-112.200151948
846.101,36.100239278,-112.200635542
861.651,36.099899947,-112.200765719
845.134,36.09954106,-112.200914463
818.959,36.099260609,-112.201014696
819.705,36.099243477,-112.200843948
833.265,36.099335303,-112.200368348
801.411,36.100148161,-112.199852012
780.901,36.100708953,-112.199439156
779.253,36.100878533,-112.199359806
788.785,36.100041624,-112.199575648
795.884,36.09917135,-112.19978244
780.055,36.098659191,-112.199847662
777.252,36.09860193,-112.199854821
785.297,36.099054438,-112.199629795
762.323,36.10011351,-112.199158838
761.739,36.100398366,-112.199122273
766.313,36.100722532,-112.199200285
768.706,36.100361239,-112.199245447
780.754,36.098716078,-112.199783331
748.415,36.097979816,-112.200062943
719.472,36.097433765,-112.200148433
715.7,36.096960318,-112.200200085
740.391,36.096300196,-112.20024955
778.201,36.09579002,-112.200064472
719.614,36.097449791,-112.199467452
743.768,36.098072947,-112.199314216
750.919,36.098316473,-112.199276115
752.01,36.098860209,-112.199206591
757.17,36.099454567,-112.199186908
763.513,36.099902868,-112.199185878
762.895,36.09956357,-112.19922992
760.126,36.098740655,-112.199333815
748.83,36.098117062,-112.199420667
728.833,36.097633488,-112.19949458
715.7,36.097171964,-112.199560983
723.301,36.097596058,-112.199389059
735.458,36.098685783,-112.199003998
733.194,36.09951257,-112.19883147
741.581,36.099910061,-112.198769504
742.236,36.100400715,-112.19870016
749.606,36.10109042,-112.198600291
750.241,36.101165989,-112.198589711
745.373,36.10066995,-112.198784233
751.591,36.099346023,-112.199144081
752.197,36.099073941,-112.199179645
743.353,36.09786494,-112.199796207
720.08,36.097448195,-112.199975445
735.837,36.097741544,-112.199928624
752.368,36.098047031,-112.199881112
786.168,36.098867506,-112.199761853
802.816,36.099567166,-112.199736891
813.51,36.099642872,-112.19989836
797.833,36.098918478,-112.200034908
746.366,36.097963987,-112.200237566
840.951,36.095094113,-112.20075333
836.398,36.094347089,-112.200817622
838.997,36.094069483,-112.200845524
838.919,36.094499339,-112.200803952
731.989,36.097675633,-112.200053483
761.193,36.098271703,-112.199790142
778.706,36.098667353,-112.199790415
792.285,36.09889552,-112.199869889
807.0,36.099433647,-112.199862395
821.402,36.099852987,-112.200104055
834.717,36.099519005,-112.200240796
827.058,36.099234933,-112.20043832
806.57,36.099004555,-112.200534174
774.419,36.098585888,-112.200829969
755.126,36.098239942,-112.20099735
745.391,36.098084917,-112.201077142
730.285,36.097844037,-112.20111252
715.7,36.097337809,-112.201110209
717.04,36.09741997,-112.20082465
731.955,36.097776003,-112.200666593
760.895,36.09836793,-112.20069209
817.026,36.099196775,-112.200793263
819.965,36.099262415,-112.201071399
791.272,36.098888847,-112.201869945
765.376,36.098585999,-112.202321616
756.281,36.098421908,-112.202396799
742.643,36.098135138,-112.202257261
737.002,36.097955322,-112.201773286
741.533,36.098031027,-112.201312082
762.706,36.098373776,-112.201091578
776.792,36.098584963,-112.201174105
765.538,36.098441404,-112.201421639
756.348,36.098293452,-112.201556289
732.86,36.097933478,-112.201999684
730.59,36.097895627,-112.202005135
757.874,36.098305419,-112.201778514
761.433,36.098400524,-112.20198986
718.834,36.097711692,-112.202477458
715.7,36.09731529,-112.202656134
715.7,36.097145363,-112.202768719
715.7,36.097466952,-112.20276432
808.273,36.099212456,-112.202235753
832.439,36.099601367,-112.20242438
850.384,36.099808964,-112.202510964
869.388,36.100110767,-112.202701737
865.151,36.100042518,-112.202938646
851.101,36.099819453,-112.203027363
815.377,36.099146496,-112.203255277
786.678,36.098827276,-112.203401437
767.371,36.098566477,-112.203435631
742.919,36.098261065,-112.20348408
729.17,36.098092991,-112.203511008
715.7,36.097704413,-112.203531408
715.7,36.097454389,-112.203424278
715.772,36.097236068,-112.203418055
798.194,36.096061955,-112.203258095
811.675,36.095713518,-112.203234974
943.549,36.094351072,-112.203054013
967.023,36.093861459,-112.202996862
969.106,36.093703828,-112.20290683
968.842,36.093694845,-112.20264055
964.978,36.093812261,-112.202392835
961.055,36.093999699,-112.202057076
921.008,36.094222303,-112.201618461
855.071,36.094274815,-112.201101693
842.118,36.094321104,-112.200912733
830.619,36.09437322,-112.200721975
819.741,36.094451634,-112.20048073
787.207,36.094680999,-112.199929949
807.003,36.094578127,-112.200229907
845.414,36.094515974,-112.200894848
901.3,36.094409815,-112.201455284
947.276,36.094404637,-112.201824194
955.881,36.094325013,-112.20223356
952.418,36.094209971,-112.202719541
952.418,36.094209971,-112.202719541
952.358,36.094250539,-112.202544182
953.787,36.094379001,-112.202008378
942.535,36.094414741,-112.201778335
902.659,36.094457538,-112.201451736
855.949,36.094565207,-112.201028534
822.674,36.094902242,-112.200482574
794.289,36.095062549,-112.199981012
758.985,36.095290667,-112.199559389
740.162,36.095483849,-112.19922677
744.469,36.095338733,-112.199026743
749.449,36.095502939,-112.199431038
832.058,36.095083934,-112.200560613
864.879,36.094889323,-112.201191838
888.619,36.09482011,-112.201716534
861.009,36.095036342,-112.202173371
832.795,36.095330481,-112.202553649
823.219,36.095467949,-112.202966033
831.902,36.095478532,-112.203308225
853.009,36.095111378,-112.202279713
877.629,36.094908811,-112.201572985
845.719,36.095128724,-112.200946114
837.295,36.095173959,-112.200699671
818.04,36.095277767,-112.200401034
804.921,36.095390546,-112.200243702
780.355,36.095642331,-112.199921817
778.201,36.09579002,-112.200064472
777.205,36.095961255,-112.200580058
811.86,36.095815416,-112.201234899
723.766,36.096623028,-112.201977042
754.356,36.096428065,-112.202587868
785.278,36.096238348,-112.203118458
788.829,36.096220908,-112.203165727
757.637,36.096463536,-112.202686179
718.582,36.096731837,-112.201917468
715.7,36.096633261,-112.200837027
715.7,36.09668749,-112.200393961
715.7,36.096706862,-112.20011687
715.767,36.096753434,-112.199613808
716.863,36.096709379,-112.199341656
717.147,36.096700511,-112.199287241
715.7,36.096828666,-112.199715472
715.7,36.097096316,-112.200297024
715.7,36.097256111,-112.201393508
715.7,36.097381046,-112.20216192
715.7,36.097436981,-112.202652821
715.7,36.097569781,-112.202983863
715.7,36.097482617,-112.202487742
715.7,36.097292884,-112.201224684
715.7,36.097212938,-112.200675437
715.7,36.097140479,-112.200180897
715.7,36.097100138,-112.199906068
715.7,36.097214061,-112.199442818
715.7,36.097274007,-112.199829775
716.402,36.097379436,-112.200548369
716.07,36.097414997,-112.201215798
715.7,36.097484999,-112.201657187
715.7,36.097458889,-112.201881133
715.7,36.097493567,-112.202101456
715.7,36.097558696,-112.202541596
715.7,36.097558696,-112.202541596
715.7,36.097493567,-112.202101456
715.7,36.097458889,-112.201881133
715.7,36.097353823,-112.20122025
720.389,36.097460976,-112.200314807
719.573,36.097439118,-112.199919961
729.315,36.097743034,-112.200728424
738.327,36.097984245,-112.201656902
737.794,36.098052518,-112.202267149
740.055,36.098132516,-112.202931773
742.991,36.098169084,-112.202926635
757.743,36.098308406,-112.201833988
755.126,36.098239942,-112.20099735
753.63,36.098106886,-112.199704562
733.452,36.098466171,-112.198921494
748.058,36.098603674,-112.199182931
785.013,36.098662034,-112.200245683
789.76,36.098747968,-112.201206467
785.831,36.098768679,-112.201710635
785.795,36.09880401,-112.20188055
791.45,36.098860184,-112.200729825
795.578,36.0988208,-112.200276085
780.328,36.098949021,-112.199586858
733.134,36.099383645,-112.198850109
730.053,36.099493423,-112.198713178
736.353,36.099498636,-112.198892172
792.289,36.099132503,-112.199731541
803.791,36.099033942,-112.200818247
810.901,36.099085807,-112.201609218
809.222,36.099200346,-112.202178653
806.108,36.099263777,-112.202464696
821.413,36.099306758,-112.202049079
822.321,36.099222285,-112.201649327
819.564,36.099226035,-112.20119072
810.724,36.099587717,-112.199847173
785.302,36.099797981,-112.199488471
763.513,36.099902868,-112.199185878
751.311,36.100246424,-112.198903762
771.259,36.100196758,-112.199324486
825.147,36.100172843,-112.200304575
863.417,36.099917307,-112.201111293
860.953,36.099899448,-112.201624321
863.73,36.099957738,-112.202026481
868.457,36.100084497,-112.202472907
871.579,36.100137013,-112.202930367
880.356,36.10024751,-112.203149364
885.982,36.100336616,-112.203140578
883.471,36.100316173,-112.202912238
883.296,36.100303578,-112.202277424
876.537,36.100264142,-112.201358807
859.917,36.100357705,-112.200849489
829.65,36.100514028,-112.200330355
816.711,36.10054377,-112.20009924
802.486,36.100512507,-112.199813449
782.134,36.100490828,-112.199464854
767.072,36.100795683,-112.199191139
779.253,36.100878533,-112.199359806
830.894,36.100739118,-112.200250547
865.66,36.100479243,-112.200896299
883.236,36.100351469,-112.20146215
889.434,36.100383814,-112.201742785
871.563,36.10057306,-112.200942334
825.004,36.100969863,-112.20010936
800.09,36.101183798,-112.199619464
784.161,36.101297946,-112.199369281
758.057,36.101494913,-112.198923219
750.039,36.101414757,-112.198682127
752.588,36.101396861,-112.198557535
779.566,36.10125364,-112.199315114
832.38,36.100856145,-112.200236708
874.089,36.100470008,-112.201063076
887.009,36.100392057,-112.201513656
897.72,36.100455855,-112.201968625
918.819,36.100590496,-112.202295883
918.95,36.100746103,-112.202625439
928.183,36.100805226,-112.202736275
972.691,36.101044373,-112.202080757
970.068,36.101054385,-112.201907923
932.455,36.10105145,-112.201450921
892.685,36.101153839,-112.200993579
864.367,36.101309386,-112.200528203
841.611,36.101471993,-112.200227196
819.584,36.101672324,-112.199858155
807.165,36.101839461,-112.199544026
794.505,36.101868827,-112.199298585
810.144,36.101815001,-112.199607104
867.139,36.101406871,-112.200574922
908.26,36.101089601,-112.201277286
959.191,36.101008484,-112.201739378
970.858,36.100989298,-112.202085267
966.969,36.101088572,-112.202306303
963.851,36.101067814,-112.202763524
968.843,36.101112059,-112.202987254
971.998,36.101158138,-112.203039814
970.892,36.101157608,-112.202811063
979.987,36.101392258,-112.202403675
981.272,36.101441958,-112.201883491
962.106,36.101540713,-112.201596308
897.863,36.101801858,-112.201133111
873.683,36.101949908,-112.200713879
855.538,36.102145902,-112.200348472
831.135,36.102243461,-112.199920113
811.611,36.102322618,-112.199548027
796.644,36.102451303,-112.199225998
781.617,36.102555717,-112.198964707
755.402,36.10260662,-112.19844955
780.266,36.10217498,-112.198103318
784.477,36.101808309,-112.1980238
778.542,36.101624004,-112.198054717
773.676,36.101210825,-112.198124661
750.611,36.10073897,-112.198460553
740.415,36.100435287,-112.198508659
741.371,36.100195531,-112.198546641
739.774,36.100010039,-112.198575434
735.77,36.099748212,-112.198614766
732.249,36.099479726,-112.198654358
729.356,36.099072192,-112.198713566
735.809,36.098438622,-112.198981287
733.931,36.098005398,-112.199042919
722.917,36.09774189,-112.198969987
717.623,36.097514693,-112.199004015
715.7,36.097080294,-112.199009658
718.647,36.096623767,-112.198907553
729.716,36.096264669,-112.198901827
731.083,36.095971568,-112.199052944
733.139,36.095920351,-112.199114441
740.13,36.09569154,-112.199253421
764.746,36.095159122,-112.199626156
787.383,36.094625262,-112.199936324
804.422,36.094335191,-112.200209133
821.008,36.09425328,-112.200550048
840.647,36.094155483,-112.200883903
864.3,36.094051574,-112.201257517
907.356,36.093961074,-112.201577432
949.476,36.093863962,-112.20189008
962.293,36.093791991,-112.202227451
964.753,36.093851679,-112.202354005
965.312,36.094015235,-112.202524178
825.598,36.095410935,-112.202663673
761.737,36.096381748,-112.202735275
724.197,36.096968075,-112.202773171
716.402,36.097662686,-112.202815527
722.7,36.097913863,-112.202962484
760.094,36.098378625,-112.20295926
780.936,36.098644304,-112.202978933
797.154,36.098890456,-112.202951281
809.939,36.099117823,-112.202930982
846.951,36.099775719,-112.20257328
829.955,36.099543053,-112.20231545
792.011,36.098916717,-112.201983878
749.436,36.098178518,-112.201573516
715.724,36.097394583,-112.201495353
715.7,36.097031276,-112.201518513
719.516,36.096669047,-112.201487436
836.504,36.095496785,-112.201229212
718.954,36.096629838,-112.201218588
769.075,36.098479607,-112.200961053
786.584,36.098712557,-112.201324635
777.177,36.098594788,-112.201342317
721.017,36.097697735,-112.201246891
715.7,36.09695204,-112.200974629
715.7,36.09704784,-112.20080103
737.373,36.097823808,-112.200430969
757.758,36.098196353,-112.200373553
774.568,36.0985101,-112.200441409
775.036,36.098508552,-112.200384971
762.12,36.098272022,-112.200248139
741.616,36.097844282,-112.200026937
716.631,36.097379356,-112.199815783
715.7,36.096896152,-112.199762852
715.765,36.096710427,-112.199729959
764.432,36.095865464,-112.199801639
748.073,36.095958638,-112.199534326
733.423,36.096119272,-112.199410406
716.863,36.096709379,-112.199341656
715.7,36.097074626,-112.199348464
